Big_Category,Sub_categories,Sentences
invoice,format,"Please add back the feature to email invlice to my own address, not theirs. Sometimes I have to attach other documents, or I just want to attach a pdf invoice to an email sent through my own system, customized/personalized for the situation."
invoice,format,"QBO Admin marked this feature request as COMPLETED in Nov 2013.. but I disagree, it is NOT completed.
The Save and send button on the invoice screen is still sending the invoice immediately without warning and without giving the user a chance to edit or "
invoice,format,Really need the old subtotal by type function back. Many of our clients require us to break out charges v expenses v time activity and the new version does not allow this.
invoice,format,"really need to have the Clients info..phone number on printed estimates, invoices"
invoice,format,"Statements are cutting off the bottom of the footers.  We need to be able to make adjustments to the statement as well as invoices. 
We should be able to add late fees in the bottom part of the invoice or statement, rather than as an activity line item. "
invoice,format,Subtotals are essential to any type of business that sells parts and labor as separate line items. 
invoice,format,Subtotals within an invoice is very important to us.  We used it all the time on the desktop version.
invoice,format,"SUBTOTALS!!!  If I cannot Subtotal services and expenses separately on my invoices, clients will not pay the invoices are being returned!!"
invoice,format,"Would love to have Quantity Ordered, Quantity Shipped and Quantity Backordered Columns on Invoices.  We manufacture building materials and some times we shipped more lineal footage than is ordered and some times we have to backorder items.  As it is, we h"
invoice,format,"Terminology for not for profit organization should not be net profit or loss, but instead excess of income over expenses, etc.  Heading in Balance Sheet should read LIABILITIES AND FUND BALANCE....under that then Fund Balance and Excess Revenues (deficit)"
invoice,format,"thats great news that its under way. id like to add that we would like to be able to have sub sections in our estimates and invoices with sub totals, based on our own groupings.
(ie - design group, bunch of design line items, design sub total; on site hel"
invoice,format,The online version of QB is absolutely horrible when it comes to generating PDF versions of invoices! Its embarrassing sending invoices from this system. Not professional at all. When will this be updated??? PLEASE!!!!
invoice,format,"The standard invoices look VERY unprofessional.  After tweaking it for 3 hours, it still does not line up or look professional and polished.  Very disappointing, as it makes my business look bad to the very clients who are paying me!  Plus the"
invoice,format,The updates to-date are not even close to where this needs to be. Im creating dual invoices now because I cant send my clients the invoices that come out of QBO. Very unprofessional and I need to add in my own content. Pair up with Google Docs o
invoice,format,This is a critical option.  Without a subtotal item i cant provide my customers with their interior and exterior prices. 
invoice,format,This is an essential feature that needs to be brought back.  many companies are spending hours to recreate a historical invoice the way it appeared in the classic system.  
invoice,format,"This is soooo frustrating!! When an invoice is marked as paid, I assume it is paid! Should not have to go double check every single invoice to see if the PAID is really DECLINED!! No fix yet????"
invoice,format,"This upgrade is atrocious. Sub-customer info is not being fed up to the parent customer. Not only the $ subtotals but when you try to batch invoice unbilled activity, it does not pick up sub-customer billable charges. This is a disaster."
invoice,format,"Vendor needs to be associated with the items received on the invoice. The field also needs to be included in the inventory reports so that you can group and sort by vendor.
Right now, it is really hard to evaluate inventory changes from the moment an ite"
invoice,format,We really need this feature.  It was in the desktop and I used it on many invoices.  Takes two to three times as long to post a payment in this version as in the desktop version.  Time is money and a lot of time is wasted in work arounds
invoice,format,"Where is the ability to choose the from details for email messages sent through QBOs new Harmony portal?
My emailed invoices from field switched to my company name (from My Name [w/ personalized address] to Company Name [w/ donot"
invoice,format,Why is this not available online?  I have been using QB for years and used this feature on every estimate I have sent out.  Why take away functionality that is so essential and so easy to code?  Please add this!!!
invoice,format,"yes, yes, yes. We need subtotals and mark-ups on invoices as well..."
invoice,format,Yes... we bill time as well. By employee and or vendor. Invoices have to allow grouping of employee/vendor time and subtotals of each employee/vendor as well! This shows our clients who did what and for how much.
invoice,payment,"ABSOLUTE MUST. Without multiple currency handling in US version, we will need to switch out of QBO."
invoice,payment,Absolutely! There is too much risk exposure (big fees) in making us turn off CC for each invoice. It should be a global setting for on/off for each type of payment.
invoice,payment,"I agree. The old version of quickbooks had a link to the IPN and now we have to log in separately to pay bills. It should be easier to pay bills, just like it is easy to have a customer pay an invoice online and have direct deposit for employees. Please f"
invoice,payment,"I need to be be able to invoice for all unbilled activities.  Its ridiculous that I have to invoice hundreds of clients one at a time.  This was a time saving feature in the older version that I really liked.  By the way, I completely despise the new"
invoice,payment,PLEase add this functionality of multi currency to the online US version!!!  Totaly essential
invoice,payment,"The emailed invoices show only the current amount due.  If you click on view invoice it will show the correct amount due with past due amounts forwarded.  BUT, if you click to pay you are not allowed to pay a penny above the current invoiced amount.  WHAT"
invoice,payment,This also applies to multi-currency items. I used to have unpaid bills totals in original currency in desktop version. Now i need to add various invoices to be able to pay in the right currency. Same applies to the bank items on TB. Total bank is correct 
invoice,payment,This multi currency functionality is VERY important for US corporations.  PLease add ASAP!!
invoice,payment,Yeah I have the same issue.  This is ridiculous that there isnt a way to refund an overpayment.  Even a check wont work because it doesnt let me take the money from the undeposited funds.
invoice,customization,"Adding spaces is HUGE for me. I need to be able to organize my invoices in sections for the client. Being able to add text in description field without having to add a new full line item is important too so I can categorize the section. 
Also"
invoice,customization,Allow the row height on invoices to be customizable so that a description that is longer than one line can actually be read by the client!
invoice,customization,Also add ability to more customize the invoice.
invoice,customization,"For our business, a proper size logo on the invoice is important for branding. The layout as at 2 July 2014 is mickey mouse. I also dont want payment and balance due showing on our particular invoices. Currently very disappointed "
invoice,customization,"I have been a QB user for a number of yrs on desktop version, thought I wanted to try and move a client to the QBOA version =(  but i cant move the client I wanted due to the constraints on the customization of Invoicing.  PLEASE PLEASE bring the QBOA cus"
invoice,customization,"I have just started using the online version, and I am very disappointed in the comparison on my desktop version.  We need more than 3 special text boxes on our invoice, and the ability to place the text boxes in order.  "
invoice,customization,I hope all the comments below is enough for QB to realise the importance of template customisation and make this a PRIORITY!
invoice,customization,I NEED TO BE ABLE TO INPUT A FUEL SURCHARGE IN MY INVOICES.  WHILE USING QUICKBOOKS PRO I HAD NO ISSUES NOW THAT IM USING ONLINE ITS NOT AVAILABLE.........THIS MAKES INVOICING MUCH MORE TIME CONSUMING BECAUSE I HAVE TO ADD IT TO EACH INDIVIDUAL CHARG
invoice,customization,I spent a very long and tedious time customizing my invoice with my desktop version to not have it transfer to the online version.  I will be going back to desktop until it is possible.  I do not want to confuse my clients or change our representation to 
invoice,customization,I would like to be able to have different templates for my Invoices and Estimates
invoice,customization,"Im very unhappy with the new way my invoices print in Quickbooks online since the update.  I had it set up with the columns I needed  now it has add a price per hour  hours.  I would like to be able to customize for our business!
 "
invoice,customization,"Invoices are a very big representation of our Company. The templates and customization we are given to work with are substandard.  Not one of these templates allow us to center or re-size our logo (which, by the way, is way too small) and we liked the loo"
invoice,customization,"Please allow more custom fields on the invoice. Three is not enough. Also, the ability to set the input type for each field (such as date, a dropdown list created by the user, number, etc.) would be HUGE. Thank you. "
invoice,customization,Please can you look into allowing us to add customer telephone numbers on invoices. every other accounting package allows this and it is causing us endless problems
invoice,customization,"Terrible mistake bypassing invoice customization!  What a JOKE!! I would never send out one of their 5 templates available.
More like a kids ipad game than a professional full featured software.  "
invoice,customization,"The current Invoices quality and customisation  are unacceptable. Have to do everything double because I cant sent my customers the invoices generated in QBO.They look very unprofessional.
double print of ABN number, cuts text of my footer, layout se"
invoice,customization,Totally agree with Tami. the lack of template customisation is what is holding me back from switching from QB Desktop. Invoicing is the priority for my business and until this is improved on the online version i will be sticking to the desktop version.
invoice,recurring_billing,"I agree totally,  we are a Landscape company and we desperately need to be able to have progressive billing."
invoice,recurring_billing,I keep getting these updates to this thread a year after I dropped QBO..They even offered  me one year at 1/2 price...But until they fix the invoice problems including the field issues and progress payment invoicing I certainly wont be back.
invoice,recurring_billing,"In working with the invoices set up for our customers who have payment plans I quickly saw what an inaccurate picture of our accounts receivable this paints.  As a lover of QB/Intuit, I too am shocked this function is not included.  I made note of some of"
invoice,recurring_billing,"Recurring billing is the underlying cash flow of a business. First, you removed it from being connected to the client so we can make sure that each client has their recurring billing.  You made it so that we have to recreate all of them in order to set th"
report,categorizing,"+1    This is absolutely horrible. Id rather be back on QuickBooks 2009 for Windows where downloading transactions actually worked and you could categorize transactions quickly. This wastes so much more time now, the AMEX UI for categorizing is pathe"
report,categorizing,I also need to search by Country as well !
report,categorizing,When I travel Abroad I can see which customer I can visit in a specific Country
report,categorizing,Thanks
report,categorizing,I want this feature back so bad.  We have many customers with sub-locations.  The new way is such a pain to lookup our customers information  get the right one.
report,categorizing,"I want to generate report of Invoices with Location group and listing of class, and all invoices including split invoices."
report,categorizing,Someone please help me.
report,categorizing,Yes Please....     I have thousands of products and its crazy that I cant look up products by using the description column either. Ive put up with it for years but I as soon as I find an alternative its goodbye Quickbooks. 
report,download transactions,"+3.  Its more than messy looking!  For those many users who do not have bank connectivity (and thus are manually updating bank statements), any error = a major headache  reporting confusion!
If a duplicate bank statement is added by error, ther"
report,download transactions,Add ability to see downloaded transactions with register view.
report,download transactions,I am having the same issues with multiple downloads from bank feeds.  This is a pain and in my view  seems to be a fault with the programme if others are having the same issues. I often just have to  give the entry a zero value just to get rid of it.  The
report,download transactions,Please at least give us the option to keep old format. Transactions from January and Feb. dont match my bank. None of the expense categories were captured!!! I had to manually re-enter. Bank downloads do not work as well. Not happy.
payroll,sync,"Agree - had a client already on Intuit Online Payroll Accts Wholesale, finally convinced them to use QuickBooks Online but now they are paying double.  Should be a way to pull in existing Intuit Online Payroll into a QuickBooks Online account."
payroll,feature,"Great article link below that addresses most of the issues described. The only one it does not is how to get payroll into QBO allocated to jobs. We use Enter bills, enter the items, the hours and the rate down below in Item Details"
payroll,slow,"I absolutely agree.  This drives me nuts and wastes my time.  Ive actually wasted deposit slips and deposited one check at a time, if you can believe it, trying to split my deposit myself so I dont run into this issue."
payroll,slow,"I couldnt agree more!  Was on the phone for 51 minutes with support today to find out that what I need from Quickbooks Online Payroll is no longer available.  Payroll usually takes me 6 minutes, tops!  I am so frustrated and looking at other payroll "
payroll,feature,I have been begging QBO to block cash flow information from limited users.  It took me a few days before I even realized they could see this information in a big green box  by that time I had short  long term employees looking for a raise.  Now 
payroll,slow,"If we were using a metaphor to compare QBO payroll to QB-PC payroll, QBO would be like using an old rotary phone and QB-PC would be like using the latest i-Phone."
payroll,slow,No Kidding. I waited at least one minute watching that stupid blue circle spinning.. FOR ONE PAYCHECK! We have 35 employees. You do the math :(
payroll,slow,New Version = Time Suck
payroll,feature,"No, put the payment type field in just like the desktop version. Its a weekly timesheet  screen so it should allow the choice of vacation, regular, OT, Double ot, sick days, etc."
payroll,feature,Taking away this feature has completely messed up the way we do payroll! There needs to be an approval page that we can refer back to before the checks are submitted!! 
payroll,slow,"This needs to be done ASAP, payroll is now a nightmare!"
payroll,feature,"When we enter the employees time in the time sheet, they generally have more than 40 hours.  We have to back and manually move the OT hours to the OT field for each employee.  We are in the construction industry. In the summer, we may have from 20 to"
payroll,feature,"Would like to be able to file payroll taxes without paying, if necessary and to make a partial payment if necessary when paying through QB."
navigation,too many clicks," The current click, click, click, click, click... by mouse is a painful waste of time!"
navigation,too many clicks,Fully agree. In the desktop version one could scroll up  down with the arrow keys and use the spacebar to mark an item cleared. No pro
navigation,too many clicks,I 100% agree!  It is extremely frustrating to have to continue to go back to the customer page and re-enter the same info to choose the next customer on the list.  This increases my time trying to find the right customer exponentially.  The original was m
navigation,too many clicks,I agree!!!! I found this very frustrating today. You used to be able to find customer service phone numbers much easier. It took me 10 minutes to find where it was buried and at that point I had hit a nice level of frustration. 
navigation,size,"I notice on my desktop that each page of the register is bigger than the screen, so I have to scroll just to look at that one page.  Having access to the whole register at once would be handy, I agree."
navigation,too many clicks,"I postponed converting until I had no choice.  You promised less clicks to perform my tasks, but alas, it takes many more and shows less information.   Who complained about the old UI and who told you users wanted this?!"
navigation,search,I really need this feature back as well.  The previous version allowed us to search by contact name and company name.  I have one client that has changed company names 4 times so it is best to search by name or I just know the persons name but can&#3
navigation,too many clicks,I totally agree with this!  I have to click twice as many times to get to something than I did in the old version.  And I dont understand why there isnt a Banking Menu.  This version is confusing.
navigation,too many clicks,"I, too am wasting way too much of my time trying to navigate the added clicks.  I need to get in and get the work done is short order.  I am very discussed with the changes and will probably have to drop the online version and go back to the standard Quic"
navigation,too many clicks,"I, too, do not have the time to figure out how to do this.  I wind up wasting much time trying to invoice customers.  I used to go down the list and invoice each. Now I have to get out of each customer before I can go to the next.  Horrible waste of my ti"
navigation,too many clicks,"Instead of clicking, just use keyboard shortcuts; it is way faster. For example, CTL + ALT + I will create a new invoice, CTL + ALT + W will create a new check, etc. similar to QuickBooks for Desktop."
navigation,search,OMG! I so agree with this! Im so sick of scrolling through every Vendor name that has the same letter in the one Im trying to find. PLEASE bring back the Alphabet on the Vendor List!!
navigation,too many clicks,"QBOJoe.com says that multiple transactions can be selected in the bank reconciliation window by clicking one, and then holding shift and clicking another above or below. All transactions in between will be selected. This is much better than click click cl"
navigation,too many clicks,"There is nothing improved with this new system, in fact, it is 1,000,000 times worse!!!!  What used to take 20 minutes, now takes 12 hours and several calls to QB for help............seriously, what moron thought this up???"
navigation,search,"They have a flexible search for finding customers, but not for items. We are keeping our desktop version active so we can use the old item list search. How crazy is that?"
navigation,too many clicks,"Whilst trying to interact with customers face to face, this choice set as a default exclusive which in Australia is the least used system is very damaging for the flow of processing customers transactions. especially when just clicking on it to change it "
reminders,put back,I relied on my reminders being on the home page under the old system. PLEASE PUT THEM BACK.
reminders,put back,"Please consider putting back one of the most important features to users of QBO.  It is cumbersome to find the list of reminders and then even more difficult and I have not found a way yet, to list the reminders that are currently due.  "
reminders,put back,Please provide a notification/reminder when any tax filings or payments are ready to be transmitted. This request is for Quickbooks Online.
reminders,put back,QuickBooks Desktop merchants currently receive an email in advance of any cards expiring soon.
reminders,put back,So very disappointed that the Reminder/ToDo list is missing from the Home Page. I missed a very important reminder this month and had to process it 3 weeks late. Please add this back to the home page. I thought the goal was to improve the software!
reminders,put back,"Unless QBO support and I missed the company configuration area for this detail, Id like to see open TAX RELATED ACTIVITIES (Tasks / To Dos / Reminders) appear on my company home page. I would also like completed tax related activities remain as a vis"
reminders,put back,What good are reminders when you have to go looking for them???  I do not understand at all why reminders and the To Do list would not be on the home page.
reminders,put back,"YES this would be great - an auto reminder before its due and IF past due, too!"
reminders,put back,"Yes.  Please.  Without those reminders on the home page, Im lost."
Purchase Orders,convert,"Emphatically agree with all of you. I will not buy into the online version until this is offered. There is a similar request for Sales a Order with more traction, but it does not talk about data transfer which is such a useful tool. "
Purchase Orders,convert,"Emphatically agree, and like the desktop version you should be able to convert the a Sales order to a Purchase Order for ease of ordering.  Sadly this topic has been started at least a dozen times so the voting is split and this is not getting as much tra"
Purchase Orders,customization,How can you not have an option to partially receive a PO.  Defiantly a necessity!
Purchase Orders,customization,Need to edit template on purchase orders.
Purchase Orders,customization,"More a necessity for us!  We seldom get stock delivered exactly as purchase order, usually something on back order, works OK on desktop! why not online?"
Purchase Orders,customization,Most of our customers have multiple jobs/POs going at the same time.  We need to have a way to show this.  I have been using the country box and its working for me.
Purchase Orders,customization,"Need to be able to receive partial deliveries against purchase orders, works great on desktop...why not online"
Purchase Orders,customization,Purchase orders forms should be able to customize please.
Purchase Orders,convert,"Purchase orders from Sales Orders or Estimates is a necessary function of most retail operations, and this request is listed several times in slightly different ways so while we are asking for the same thing we are not getting traction, and unlike other f"
Purchase Orders,fomat,"There are fields on the PO entry screen that I dont need on the PO form.  In addition there are additional fields that I entered, e.g., ship to attn: that do not appear on the PO.  This form is not very user friendly."
Purchase Orders,fomat,This is a minor but tremendously annoying bug.  Therefore its priority should be high.   I am SO frustrated by this.  Desktop QB always had the PO number with billable expenses.  You dont necessarily lose your changes.  If like me you have to dr
Purchase Orders,customization,"This seems like this would be so logical and already in place.  Many, Many purchase orders have back ordered items.  Its silly that QBO doesnt do this.  If I could vote 100 times for this, I would."
Purchase Orders,format,Well I am new to QBO but I do not understand why the PO have Rate and Tax Column in it. Since this is a order for purchase of some products from supplier the prize may vary from time to time and dictated by the supplier . How can I we upfront put a purcha
Purchase Orders,convert,You should also be able to turn an estimate into a purchase order for ease of ordering like the desktop version
sync,,"Agreed, the sync totally sucks and is worthless just like QB for the last 2 years.  I have complained many times but no response.  I am just manually entering transactions now.  Thanks for another crappy feature QB"
sync,,"If they cant integrate my wholesale Intuit Online Payroll with my clients QBO accounts, then at least let us export from IOP as IIF and import into QBO. Problem solved!"
sync,,"It doesnt make sense that ProAdvisors can add QBO clients to their wholesale billing to provide a lifetime discount to their client, but cannot also link their Intuit Online Payroll with their clients QBO account. They are basically the same ser"
sync,,Offline suggestion is not a good idea  How will you synchronize data coming from different sources working online while you are working offline ?
mobile,feature,"agreed. would also love my employees to be able to add in expenses via iPhone app with photos, and choose which client its for, without seeing the rest of the company info like our registers or vendor bills."
mobile,feature,"I agree it would be great to be able to access time tracking from the web on all mobile devices, and that an app wouldnt be necessary to do this. Employees who are assigned as Time Tracking Only dont appear to be able to get the app without payi"
mobile,feature,"I also need purchase order capabilities on the iPad version.  If not, at least allow us access to the full site!"
mobile,feature,"I couldnt agree (beg) more. The new app interface finally on me, but no longer being able to preview statements? That has caused a bad backlog on some of my client accounts where credits are common. Also difficult to assess where a problem might have"
mobile,devices,"It would be helpful to have this feature in your Android App as well, not just iphone/ipad."
mobile,feature,Mobile browser access to full website dont work anymore!
mobile,feature,"PLEASE ADD THIS!!!  I work on a team of 16+ folks, all in varying locations, who need to report our hours immediately after completing a job.  We all have smart phones but we dont all carry laptops.  Would be great to access this from our phones.  Th"
mobile,devices,"The Android app is worthless for me.  I have products and services with sub-items.  For example, I have a product CV, with a sub-item of L, making it CV:L.  Product CA also has the same sub-item, making it &"
mobile,devices,Why is this feature not available on android tablet
mobile,devices,Please add this feature of scanning and attaching a expenses receipt to the Android app.
